teamID,name,abbreviation,locationID
1,Hawks,ATL,1
2,Celtics,BOS,2
3,Nets,BKN,3
4,Hornets,CHA,4
5,Bulls,CHI,5
6,Cavaliers,CLE,6
7,Mavericks,DAL,7
8,Nuggets,DEN,8
9,Pistons,DET,9
10,Warriors,GSW,10
11,Rockets,HOU,11
12,Pacers,IND,12
13,Lakers,LAL,13
14,Grizzlies,MEM,14
15,Heat,MIA,15
16,Bucks,MIL,16
17,Timberwolves,MIN,17
18,Pelicans,NOP,18
19,Knicks,NYK,19
20,Thunder,OKC,20
21,Magic,ORL,21
22,76ers,PHI,22
23,Suns,PHX,23
24,Trailblazers,POR,24
25,Kings,SAC,25
26,Spurs,SAS,26
27,Raptors,TOR,27
28,Jazz,UTA,28
29,Wizards,WSH,29
30,Clippers,LAC,13
